id;ref:FR:sncf:resarail;UIC;railway:ref;name;ref:FR:uic8
285;FRIMC;8778154;COQ;Ceilhes - Roqueredonde;87781542
286;FRIMD;8778155;KBI;Les Cabrils;87781559
287;FRIMF;8778157;LKH;Lunas;87781575
288;FRIMG;8778158;LBD;Le Bousquet-d'Orb;87781583
289;FRIMB;8778153;MNP;Montpaon;87781534
290;FRILV;8778129;MPP;Marseillan Plage;87781294
291;FRILU;8778126;VA;Vias;87781260
292;FRXAG;8778127;AGD;Agde;87781278
293;FRIMK;8778166;MGA;Magalas;87781666
294;FRIMH;8778160;BED;Bédarieux;87781609
295;FRLCS;8754337;LCS;La Chapelle-Saint-Mesmin;87543371
296;FRMAU;8778300;MAU;Millau;87783001
297;FRIMW;8778317;SFC;Saint-Flour - Chaudes-Aigues;87783175
298;FREPU;8754320;APK;"Avenue du Président Kennedy
 (Maison de Radio France)";87543207
299;FRNGE;8730387;IMC;Ingersheim Cité Scolaire;87303875
300;FRINM;8778342;SDU;Saint-Georges-de-Luzençon;87783423
301;FRINN;8778343;SDO;Saint-Rome-de-Cernon;87783431
302;FRINO;8778345;TEO;Tournemire - Roquefort;87783456
303;FRINR;8778353;CNA;Chanac;87783530
304;FRINS;8778354;BWQ;Le Bruel;87783548
305;FRINT;8778356;BJC;Barjac;87783563
306;FRINQ;8778351;SQL;Les Salelles;87783514
307;FRINE;8778328;MVJ;Marvejols;87783282
308;FRINF;8778329;CAC;Chirac;87783290
309;FRINB;8778324;SYH;Saint-Chély-d'Apcher;87783241
310;FRINC;8778326;AAU;Aumont-Aubrac;87783266
311;FRLMR;8778330;LMR;Le Monastier;87783308
312;FRINH;8778332;BAA;Banassac - La Canourgue;87783324
313;FRINJ;8778334;CAE;Campagnac - Saint-Geniez;87783340
314;FRSVC;8778336;SVC;Sévérac-le-Château;87783365
315;FRSAL;8754316;SAL;Salbris;87543165
316;FREPQ;8754314;LB;Lamotte-Beuvron;87543140
317;FREPR;8754315;NOF;Nouan-le-Fuzelier;87543157
318;FREPS;8754318;BWR;Boulainvilliers;87543181
319;FREPT;8754319;THY;Theillay;87543199
320;FREPP;8754312;LFS;La Ferté-Saint-Aubin;87543124
321;FRSCV;8754311;SCV;Saint-Cyr-en-Val La Source;87543116
322;FREPJ;8754305;ATY;Artenay;87543058
323;FREPK;8754306;CGK;Château-Gaillard;87543066
324;FREPH;8754303;CCT;Cercottes;87543033
325;FREPI;8754304;CVY;Chevilly;87543041
326;FREPO;8754309;AGV;Angerville;87543090
327;FREPM;8754307;TY;Toury;87543074
328;FREPN;8754308;BAX;Boisseaux;87543082
329;FRLAB;8754301;LAB;Les Aubrais;87543017
330;FRAFK;8754300;ORL;Orléans;87543009
331;FRFDM;8778260;PDI;Clermont La Pardieu;87782607
332;FRXPV;8778426;POV;Port-Vendres;87784264
333;FRXBU;8778429;BYQ;Banyuls-sur-Mer;87784298
334;FRIOG;8778420;ELN;Elne;87784207
335;FRARM;8778423;ASW;Argelès-sur-Mer;87784231
336;FRXCU;8778425;CQU;Collioure;87784256
337;FRPGF;8778400;PPN;Perpignan;87784009
338;FRIOE;8778415;SAP;Salses;87784157
339;FRIOF;8778417;RVT;Rivesaltes;87784173
340;FRMAI;8778462;MQG;Marquixanes;87784629
341;FRIOR;8778463;PDS;Prades - Molitg-les-Bains;87784637
342;FRRIA;8778466;RA;Ria;87784660
343;FRVIV;8778468;VVB;Villefranche - Vernet-les-Bains;87784686
344;FRIOQ;8778461;VCA;Vinça;87784611
345;FRIOV;8778473;NYE;Nyer;87784736
346;FRIOW;8778474;THB;Thuès les Bains;87784744
347;FRIOX;8778475;THG;Thuès Carença;87784751
348;FRIOY;8778476;FTB;Fontpédrouse Saint-Thomas les Bains;87784769
349;FRIOZ;8778477;TOX;Sauto;87784777
350;FRIPA;8778478;PNW;Planès;87784785
351;FRIPB;8778479;MTC;Mont-Louis - La Cabanasse;87784793
352;FRIOS;8778470;ZDI;Serdinya;87784702
353;FRIOT;8778471;JCT;Joncet;87784710
354;FRIOU;8778472;OLE;Olette - Canaveilles les Bains;87784728
355;FRIOL;8778451;LSL;Le Soler;87784512
356;FRIOM;8778452;FDL;Saint-Féliu-d'Avall;87784520
357;FRION;8778454;MYR;Millas;87784546
358;FRIOO;8778456;ILL;Ille-sur-Têt;87784561
359;FRINW;8778364;BCT;Bagnols - Chadenet;87783647
360;FRAEC;8778365;AEN;Allenc;87783654
361;FRINY;8778367;BVZ;Belvezet;87783670
362;FRMEN;8778360;MDE;Mende;87783605
363;FRIOC;8778376;LVY;Laissac;87783761
364;FRERO;8754573;BO;Bonneval;87545731
365;FRERM;8754570;VO;Voves;87545707
366;FRCUN;8754575;CUN;Châteaudun;87545756
367;FRERI;8754565;AUN;Auneau;87545657
368;FREQK;8754514;ETY;Étréchy;87545145
369;FREQL;8754515;CHK;Chamarande;87545152
370;FRCMJ;8729556;HAT;Hautmont;87295568
371;FREQJ;8754512;GU;Guillerval;87545129
372;FRETP;8754513;ETP;Étampes;87545137
373;FREQO;8754518;MSX;Marolles-en-Hurepoix;87545186
374;FREQP;8754519;BY;Brétigny;87545194
375;FREQM;8754516;LYO;Lardy;87545160
376;FREQN;8754517;BSO;Bouray;87545178
377;FREQI;8754511;MW;Monnerville;87545111
378;FRSBO;8729554;SB;Sous le Bois;87295543
379;FRCMI;8729553;LWF;Louvroil;87295535
380;FRXOY;8729560;AYE;Aulnoye-Aymeries;87295600
381;FRORS;8729566;OR;Ors;87295667
382;FRCMK;8729564;LNR;Landrecies;87295642
383;FRCMS;8729579;LL;Leval;87295790
384;FREQZ;8754535;SME;Saint-Martin d'Étampes;87545350
385;FRXCE;8778500;CE;Cerbère;87785006
386;FREQY;8754530;IV;Ivry-sur-Seine;87545301
387;FRCMN;8729572;AVS;Avesnelles;87295725
388;FRCMO;8729573;AVN;Avesnes;87295733
389;FRCML;8729570;SAW;Sains-du-Nord;87295709
390;FRCMP;8729577;DMR;Dompierre-sur-Helpe ;87295774
391;FREQU;8754525;ATH;Athis-Mons;87545251
392;FRABL;8754526;ABL;Ablon;87545269
393;FREQT;8754523;SAO;Savigny-sur-Orge;87545236
394;FRJSY;8754524;JY;Juvisy;87545244
395;FREQX;8754529;VY;Vitry-sur-Seine;87545293
396;FREQV;8754527;VRI;Villeneuve-le-Roi;87545277
397;FREQW;8754528;CLR;Choisy-le-Roi;87545285
398;FREQR;8754521;SXG;Sainte-Geneviève-des-Bois;87545210
399;FREQS;8754522;EYO;Épinay-sur-Orge;87545228
400;FREQQ;8754520;SHO;Saint-Michel-sur-Orge;87545202
401;FRCMT;8729580;BER;Berlaimont;87295808
402;FRCMU;8729585;LQY;Le Quesnoy;87295857
403;FRERF;8754550;SCW;Saint-Chéron;87545509
404;FRERG;8754551;SXE;Sermaise;87545517
405;FRDDN;8754552;D;Dourdan;87545525
406;FRERC;8754547;ELY;Égly;87545475
407;FRERD;8754548;BIH;Breuillet - Bruyères-le-Châtel;87545483
408;FRERA;8754545;NG;La Norville - Saint-Germain-lès-Arpajon;87545459
409;FRERB;8754546;ARP;Arpajon;87545467
410;FRERE;8754549;BRW;Breuillet Village;87545491
411;FRFMI;8729504;FMI;Fourmies;87295048
412;FRCMA;8729501;JT;Jeumont;87295014
413;FRCMB;8729502;RCQ;Recquignies;87295022
414;FRCMD;8729505;ANO;Anor;87295055
415;FRHIR;8729506;HI;Hirson;87295063
416;FRXME;8729500;MBG;Maubeuge;87295006
417;FRCMG;8729522;LCA;Le Cateau;87295220
418;FRERR;8778484;ERR;Err;87784843
419;FRIPF;8778485;XLE;Sainte-Léocadie;87784850
420;FRIPG;8778486;OSA;Osséja;87784868
421;FRBMA;8778487;BMD;Bourg-Madame;87784876
422;FRIPH;8778488;URL;Ur - Les Escaldes;87784884
423;FRIPI;8778489;BFA;Bena-Fanès;87784892
424;FRIPC;8778480;BQE;Bolquère - Eyne;87784801
425;FRQZF;8778481;FRM;Font-Romeu-Odeillo-Via;87784819
426;FRIPD;8778482;EAA;Estavar;87784827
427;FRIPE;8778483;SGW;Saillagouse;87784835
428;FRDRO;8744418;FVL;Frénouville - Cagny;87444182
429;FRDRP;8744419;MTA;Moult - Argences;87444190
430;FRDRM;8744408;MLW;Le Molay-Littry;87444083
431;FRDRJ;8744404;BVO;Bretteville - Norrey;87444042
432;FRDRK;8744405;ADR;Audrieu;87444059
433;FRBYX;8744406;BAY;Bayeux;87444067
434;FRCFR;8744400;CN;Caen;87444000
435;FRTRD;8744437;TD;Trouville - Deauville;87444372
436;FRDSB;8744438;BWB;Blonville-sur-Mer - Benerville;87444380
437;FRDSC;8744439;VIU;Villers-sur-Mer;87444398
438;FRDRX;8744432;GDJ;Le Grand Jardin;87444323
439;FRPVQ;8744434;PVQ;Pont-l'Évêque;87444349
440;FRSQY;8744431;SY;Serquigny;87444315
441;FRXBX;8744429;BEY;Bernay;87444299
442;FRXLX;8744426;LX;Lisieux;87444265
443;FRDRQ;8744421;SPD;Saint-Pierre-sur-Dives;87444216
444;FRDRS;8744423;CLB;Coulibœuf;87444232
445;FRMEZ;8744420;MEZ;Mézidon;87444208
446;FRGOH;8768429;GIE;Gien;87684290
447;FRGOG;8768427;NGI;Nogent-sur-Vernisson;87684274
448;FRDSM;8744458;LLT;Le Merlerault;87444588
449;FRGOC;8768421;SPP;Souppes - Château-Landon;87684217
450;FRDSJ;8744454;ECE;Écouché;87444547
451;FRSDN;8744456;SDN;Surdon;87444562
452;FRDSL;8744457;NAL;Nonant-le-Pin;87444570
453;FRGOD;8768423;DDI;Dordives;87684233
454;FRART;8744453;AR;Argentan;87444539
455;FRGOE;8768424;FFY;Ferrières - Fontenay;87684241
456;FRDSD;8744440;HOE;Houlgate;87444406
457;FRXDC;8744441;DV;Dives - Cabourg;87444414
458;FRXAN;8744471;ALN;Alençon;87444711
459;FRGNX;8768400;MS;Montargis;87684001
460;FRDSO;8744460;SGG;Sainte-Gauburge;87444604
461;FRGOB;8768419;BXN;Bagneaux-sur-Loing;87684191
462;FRDST;8744469;SKS;Sées;87444695
463;FRGNY;8768410;MKN;Montigny-sur-Loing;87684100
464;FRGNZ;8768411;BOM;Bourron-Marlotte - Grez;87684118
465;FRDSP;8744462;RAE;Rai - Aube;87444620
466;FRDSQ;8744463;LAE;L'Aigle;87444638
467;FRGOA;8768412;NSP;Nemours - Saint-Pierre;87684126
468;FRLWY;8719400;LWY;Longwy;87194001
469;FRBTI;8719420;MDY;Montmédy;87194209
470;FRLGN;8719427;LGN;Longuyon;87194274
471;FRBTL;8719435;ALR;Audun-le-Roman;87194357
473;FRGND;8768355;MEG;Monéteau - Gurgy;87683557
474;FRGNA;8768353;CAP;Chemilly - Appoigny;87683532
475;FRASG;8768357;AUX;Auxerre Saint-Gervais;87683573
477;FRGMS;8768322;SJX;Saint-Julien-du-Sault;87683227
478;FRGMQ;8768320;EYV;Étigny - Véron;87683201
479;FRGMR;8768321;VYE;Villeneuve-sur-Yonne;87683219
480;FRISI;8768326;LAR;Laroche - Migennes;87683268
481;FRGMU;8768324;JOI;Joigny;87683243
482;FRISK;8768331;SIF;Saint-Florentin - Vergigny;87683318
483;FRGNV;8768384;MIY;Mailly-la-Ville;87683847
484;FRGNG;8768361;CAI;Champs - Saint-Bris;87683615
485;FRGNI;8768366;VEE;Vermenton;87683664
